,episode,mean reward
0,0,-7.350930111313306
1,1,-7.445726090372936
2,2,-5.224248863774269
3,3,-4.988564527863035
4,4,-3.28489741619837
5,5,-8.108182341906563
6,6,-4.578823211334008
7,7,-9.502322799772069
8,8,-12.969829625470284
9,9,-5.78101111847497
10,10,-6.007918307968842
11,11,-4.766800058613363
12,12,-6.533668235923641
13,13,-6.1770421807373985
14,14,-4.745581111679132
15,15,-6.25848175389221
16,16,-5.387210521885037
17,17,-6.597846441000472
18,18,-4.944998322763338
19,19,-6.45942882953755
20,20,-8.755187675810168
21,21,-5.270136801985375
22,22,-5.565966736427927
23,23,-3.6963087761006066
24,24,-7.202792467492195
25,25,-5.1489543651494
26,26,-6.339897326477391
27,27,-4.09121471776391
28,28,-8.617609506926222
29,29,-7.590277708557424
30,30,-4.892554736276528
31,31,-5.5769624517346905
32,32,-6.626422812716979
33,33,-8.116009374572666
34,34,-6.076370334845165
35,35,-5.018828192015713
36,36,-10.313607665860264
37,37,-5.739746176399773
38,38,-10.261920945180261
39,39,-4.492418479246299
40,40,-6.663237980650921
41,41,-5.864644650319817
42,42,-5.750151182824698
43,43,-8.638086804606305
44,44,-4.688957563215279
45,45,-3.5951277461517823
46,46,-5.247894695992742
47,47,-5.491851490226279
48,48,-4.890374619769147
49,49,-3.95798591936881
50,50,-11.33244337044652
51,51,-6.641707690777602
52,52,-6.545295790674793
53,53,-3.090765744830398
54,54,-5.84417190051621
55,55,-6.2707219464757715
56,56,-9.858061009484299
57,57,-9.72643480399349
58,58,-4.607848499910579
59,59,-6.222716022472082
60,60,-5.131798614429606
61,61,-6.42707143607793
62,62,-7.034685684825307
63,63,-6.624662436959977
64,64,-4.802036670342256
65,65,-5.663760781947097
66,66,-8.795325855491685
67,67,-5.49314827500266
68,68,-6.92882138194362
69,69,-7.266897417056763
70,70,-5.286800705058129
71,71,-9.14807601870527
72,72,-6.384783664715043
73,73,-7.042170891333114
74,74,-3.0919461859592223
75,75,-6.769749018644347
76,76,-10.797123693864318
77,77,-5.299852686987102
78,78,-5.341990537077904
79,79,-6.149502136295995
80,80,-4.845535774509173
81,81,-7.681842172913841
82,82,-10.375847386031017
83,83,-9.455966902582032
84,84,-6.36831946220198
85,85,-5.3569064613001895
86,86,-9.125056066822594
87,87,-3.860089554255039
88,88,-8.641882779446538
89,89,-5.85886490054001
90,90,-8.217020430640801
91,91,-7.9212775343851805
92,92,-4.870791553734262
93,93,-6.3326501354806135
94,94,-4.829751507344813
95,95,-4.415981866792286
96,96,-9.309003034798957
97,97,-6.498198884058286
98,98,-5.563954081485592
99,99,-5.649890923559692
100,100,-5.986858008000906
101,101,-6.298177557107169
102,102,-6.261462970020327
103,103,-5.830148638182743
104,104,-4.417198536674005
105,105,-6.007821044142616
106,106,-9.321417715815553
107,107,-9.32927228839079
108,108,-10.816482514053492
109,109,-8.942895618766741
110,110,-4.30510648794424
111,111,-5.846218912191598
112,112,-5.327490086187477
113,113,-5.4658214933311955
114,114,-8.426179327820435
115,115,-5.318610387339204
116,116,-6.5441882469830945
117,117,-4.29608648944247
118,118,-7.5236525099264036
119,119,-8.902739806596367
120,120,-5.5727779932466035
121,121,-6.96253875538689
122,122,-6.314134732013518
123,123,-4.875365915951296
124,124,-4.751611991487895
125,125,-8.363876654647216
126,126,-8.229718348812916
127,127,-5.065034181036948
128,128,-9.558194148836696
129,129,-5.802381042352894
130,130,-8.980593197467595
131,131,-4.944684554926598
132,132,-11.030980541877348
133,133,-7.501039669619056
134,134,-6.6601479448822785
135,135,-4.468999680911266
136,136,-4.905758616767838
137,137,-6.535282621084207
138,138,-7.45253016127854
139,139,-7.326472419791446
140,140,-6.178646174049609
141,141,-7.304558305388648
142,142,-12.481526861938068
143,143,-6.919830355130984
144,144,-4.336398207485697
145,145,-9.359604541047364
146,146,-4.403292485498352
147,147,-4.887027963718922
148,148,-5.505372339635211
149,149,-5.969445589071661
150,150,-5.970373189592449
151,151,-7.221604275379752
152,152,-9.01545739548526
153,153,-8.273988427612597
154,154,-7.205270413118118
155,155,-15.052627753746119
156,156,-8.709283945571778
157,157,-6.785872444691385
158,158,-6.661009587080376
159,159,-4.836619466544303
160,160,-8.514167840280274
161,161,-5.595408040698102
162,162,-7.019808394816104
163,163,-9.659023352027445
164,164,-5.555472337915189
165,165,-4.593772380992883
166,166,-7.8220711217902235
167,167,-5.4437213549279475
168,168,-10.2400194029331
169,169,-6.2703395966176165
170,170,-5.264715909742101
171,171,-13.162012340027102
172,172,-8.066471976289597
173,173,-3.5927968151909853
174,174,-2.9133851678150062
175,175,-5.172097011743899
176,176,-4.207628380189191
177,177,-5.285543371412133
178,178,-5.158556098975605
179,179,-8.213728482977826
180,180,-6.835804483630653
181,181,-7.787295507562456
182,182,-8.083593030863259
183,183,-5.188181112509922
184,184,-6.756154056605111
185,185,-7.204403645023708
186,186,-10.873709159146197
187,187,-8.559170019963902
188,188,-7.264103133941981
189,189,-5.699447852467296
190,190,-6.939476317798672
191,191,-8.974097490927257
192,192,-4.553728889271701
193,193,-5.364000187340199
194,194,-7.124871621459544
195,195,-5.919771067164979
196,196,-5.128030386225906
197,197,-6.390710257195312
198,198,-7.0783727404418
199,199,-4.1973283935722385
200,200,-3.6573725980517118
201,201,-6.463018796735813
202,202,-8.0306715747965
203,203,-5.29660082802457
204,204,-6.696405640219523
205,205,-10.719401109569407
206,206,-11.291742716997783
207,207,-6.053275951842513
208,208,-7.91385907638275
209,209,-6.079609145089294
210,210,-6.087150272190195
